bolge,bolge_adi,malzeme,biyo_esasli,kalinlik_cm,kutle_kgm2,gomulu_karbon_m2,biyojenik_karbon_m2,net_karbon_m2
1,Aşırı Sıcak,Ahşap lifi levha,1,8.0,12.8,8.96,-19.2,-10.24
1,Aşırı Sıcak,Kenevir lifi levha,1,8.0,3.2,3.2,-4.8,-1.6
1,Aşırı Sıcak,Keten lifi levha,1,7.0,2.5,2.45,-3.68,-1.23
1,Aşırı Sıcak,Koyun yünü,1,7.0,1.8,1.05,-2.1,-1.05
1,Aşırı Sıcak,Geri dönüşüm tekstil,1,7.0,2.5,1.23,-2.21,-0.98
1,Aşırı Sıcak,Selüloz (püskürtme),1,8.0,4.0,1.0,-6.0,-5.0
1,Aşırı Sıcak,Kenevir-kireç (hempcrete),1,13.0,42.9,8.58,-25.74,-17.16
1,Aşırı Sıcak,Saman balya,1,12.0,12.0,0.6,-18.0,-17.4
1,Aşırı Sıcak,Genleştirilmiş mantar (ICB),1,8.0,9.6,3.84,-14.4,-10.56
1,Aşırı Sıcak,Pirinç kavuzu paneli,1,10.0,15.0,4.5,-22.5,-18.0
1,Aşırı Sıcak,Ayçiçeği sapı özü paneli,1,8.0,4.8,1.44,-7.2,-5.76
1,Aşırı Sıcak,Şeker kamışı küspesi paneli,1,9.0,16.2,4.86,-24.3,-19.44
1,Aşırı Sıcak,Fındık kabuğu esaslı panel,1,11.0,27.5,8.25,-41.25,-33.0
1,Aşırı Sıcak,Miselyum esaslı kompozit,1,8.0,9.6,2.88,-14.4,-11.52
1,Aşırı Sıcak,EPS,0,7.0,1.4,4.62,0.0,4.62
1,Aşırı Sıcak,XPS,0,6.0,1.9,6.53,0.0,6.53
1,Aşırı Sıcak,Taşyünü,0,7.0,7.0,8.4,0.0,8.4
1,Aşırı Sıcak,Camyünü,0,7.0,1.4,1.82,0.0,1.82
2,Sıcak,Ahşap lifi levha,1,9.0,14.4,10.08,-21.6,-11.52
2,Sıcak,Kenevir lifi levha,1,9.0,3.6,3.6,-5.4,-1.8
2,Sıcak,Keten lifi levha,1,8.0,2.8,2.8,-4.2,-1.4
2,Sıcak,Koyun yünü,1,8.0,2.0,1.2,-2.4,-1.2
2,Sıcak,Geri dönüşüm tekstil,1,9.0,3.1,1.57,-2.83,-1.26
2,Sıcak,Selüloz (püskürtme),1,9.0,4.5,1.12,-6.75,-5.62
2,Sıcak,Kenevir-kireç (hempcrete),1,15.0,49.5,9.9,-29.7,-19.8
2,Sıcak,Saman balya,1,13.0,13.0,0.65,-19.5,-18.85
2,Sıcak,Genleştirilmiş mantar (ICB),1,9.0,10.8,4.32,-16.2,-11.88
2,Sıcak,Pirinç kavuzu paneli,1,11.0,16.5,4.95,-24.75,-19.8
2,Sıcak,Ayçiçeği sapı özü paneli,1,9.0,5.4,1.62,-8.1,-6.48
2,Sıcak,Şeker kamışı küspesi paneli,1,11.0,19.8,5.94,-29.7,-23.76
2,Sıcak,Fındık kabuğu esaslı panel,1,12.0,30.0,9.0,-45.0,-36.0
2,Sıcak,Miselyum esaslı kompozit,1,9.0,10.8,3.24,-16.2,-12.96
2,Sıcak,EPS,0,8.0,1.6,5.28,0.0,5.28
2,Sıcak,XPS,0,7.0,2.2,7.62,0.0,7.62
2,Sıcak,Taşyünü,0,8.0,8.0,9.6,0.0,9.6
2,Sıcak,Camyünü,0,8.0,1.6,2.08,0.0,2.08
3,Ilıman,Ahşap lifi levha,1,9.0,14.4,10.08,-21.6,-11.52
3,Ilıman,Kenevir lifi levha,1,9.0,3.6,3.6,-5.4,-1.8
