kod,ad,grup,Ö1 Isı iletkenliği,Ö2 Birim kütle,Ö3 Alansal ısıl kapasite,Ö6 Biyojenik karbon,Ö7 Yangına tepki,Ö9 Yaşam sonu senaryosu,Ö10 Nem/küf duyarlılığı,Ö11 Gerekli yalıtım kalınlığı
M01,Ahşap lifi levha,Lifli levha,0.0380,3.5000,7.3500,-6.0865,2.0000,4.0000,4.0000,7.0000
M02,Kenevir lifi levha,Lifli levha,0.0400,3.2000,5.4400,-4.8288,2.0000,4.0000,4.0000,8.0000
M03,Keten lifi levha,Lifli levha,0.0380,2.4500,3.9200,-3.7216,2.0000,4.0000,4.0000,7.0000
M04,Koyun yünü,Lifli levha,0.0380,4.2000,7.2240,-6.5772,2.0000,4.0000,3.0000,7.0000
M05,Geri dönüşüm tekstil,Lifli levha,0.0390,2.4500,3.9200,-3.6628,2.0000,3.0000,4.0000,7.0000
M06,Selüloz (püskürtme),Dökme/dolgu,0.0400,4.0000,6.4000,-7.3280,5.0000,4.0000,4.0000,8.0000
M07,Kenevir-kireç (hempcrete),Dökme/dolgu,0.0600,39.6000,59.4000,-23.7600,5.0000,2.0000,3.0000,12.0000
M08,Saman balya,Dökme/dolgu,0.0600,12.0000,18.0000,-17.7840,2.0000,4.0000,5.0000,12.0000
M09,Genleştirilmiş mantar (ICB),Kabuk/atık esaslı,0.0450,9.9000,17.8200,-15.6519,2.0000,4.0000,2.0000,9.0000
M10,Pirinç kavuzu paneli,Kabuk/atık esaslı,0.0700,52.0000,88.4000,-78.0000,2.0000,4.0000,4.0000,13.0000
M11,Ayçiçeği sapı-kitosan kompozit,Kabuk/atık esaslı,0.0560,16.5000,28.0500,-24.7500,2.0000,4.0000,4.0000,11.0000
M12,Şeker kamışı küspesi levhası,Kabuk/atık esaslı,0.0820,98.2400,167.0080,-147.3600,2.0000,4.0000,4.0000,16.0000
M13,Fındık kabuğu esaslı panel,Kabuk/atık esaslı,0.0600,36.0000,61.2000,-54.0000,2.0000,4.0000,4.0000,12.0000
M14,Miselyum esaslı kompozit,Büyütülmüş,0.0470,10.8000,18.5112,-16.2000,2.0000,4.0000,4.0000,9.0000
R01,EPS,Kıyas,0.0350,1.4000,2.0300,0.0000,2.0000,2.0000,2.0000,7.0000
R02,XPS,Kıyas,0.0320,1.9200,2.7840,0.0250,2.0000,2.0000,1.0000,6.0000
R03,Taşyünü,Kıyas,0.0370,2.0300,2.0909,0.0325,7.0000,2.0000,2.0000,7.0000
R04,Camyünü,Kıyas,0.0350,1.4000,1.4420,-0.2324,7.0000,2.0000,2.0000,7.0000
