ay,bolge1,bolge2,bolge3,bolge4,bolge5,bolge6
Ocak,9.60,4.00,1.00,-3.0,-10.40,-16.00
Şubat,6.00,4.40,1.30,-2.7,-12.40,-15.35
Mart,11.00,6.30,3.90,0.4,-8.70,-9.70
Nisan,13.00,11.25,9.70,6.38,1.80,-1.00
Mayıs,29.00,19.40,15.40,14.0,11.75,5.00
Haziran,35.20,35.41,28.20,18.7,14.25,13.00
Temmuz,37.00,35.79,32.00,28.40,18.75,17.55
Ağustos,34.99,34.90,33.20,26.90,17.10,19.40
Eylül,32.61,32.41,18.70,17.2,13.80,14.00
Ekim,19.00,17.50,13.00,13.0,4.08,1.18
Kasım,11.40,10.10,4.80,-1.8,-6.80,-11.85
Aralık,6.60,4.88,1.28,-0.3,-12.50,-17.40
