bolge,temsilci_il,yon,Ocak,Şubat,Mart,Nisan,Mayıs,Haziran,Temmuz,Ağustos,Eylül,Ekim,Kasım,Aralık
1,Şanlıurfa,Güney,138.2,138.9,148.4,138.1,117.0,103.6,113.1,149.4,190.6,186.2,173.4,131.3
1,Şanlıurfa,Doğu,138.2,138.9,148.4,138.1,117.0,103.6,113.1,149.4,190.6,186.2,173.4,131.3
1,Şanlıurfa,Batı,138.2,138.9,148.4,138.1,117.0,103.6,113.1,149.4,190.6,186.2,173.4,131.3
1,Şanlıurfa,Kuzey,138.2,138.9,148.4,138.1,117.0,103.6,113.1,149.4,190.6,186.2,173.4,131.3
2,Diyarbakır,Güney,124.4,140.8,138.6,136.2,114.2,108.3,116.9,152.4,191.0,187.7,172.2,122.6
2,Diyarbakır,Doğu,124.4,140.8,138.6,136.2,114.2,108.3,116.9,152.4,191.0,187.7,172.2,122.6
2,Diyarbakır,Batı,124.4,140.8,138.6,136.2,114.2,108.3,116.9,152.4,191.0,187.7,172.2,122.6
2,Diyarbakır,Kuzey,124.4,140.8,138.6,136.2,114.2,108.3,116.9,152.4,191.0,187.7,172.2,122.6
3,Konya,Güney,116.9,162.3,165.2,140.3,113.8,102.0,116.5,148.5,181.2,196.3,183.7,128.8
3,Konya,Doğu,116.9,162.3,165.2,140.3,113.8,102.0,116.5,148.5,181.2,196.3,183.7,128.8
3,Konya,Batı,116.9,162.3,165.2,140.3,113.8,102.0,116.5,148.5,181.2,196.3,183.7,128.8
3,Konya,Kuzey,116.9,162.3,165.2,140.3,113.8,102.0,116.5,148.5,181.2,196.3,183.7,128.8
4,Van,Güney,85.1,120.9,152.7,141.5,119.1,107.8,120.8,154.5,197.2,193.0,171.0,115.7
4,Van,Doğu,85.1,120.9,152.7,141.5,119.1,107.8,120.8,154.5,197.2,193.0,171.0,115.7
4,Van,Batı,85.1,120.9,152.7,141.5,119.1,107.8,120.8,154.5,197.2,193.0,171.0,115.7
4,Van,Kuzey,85.1,120.9,152.7,141.5,119.1,107.8,120.8,154.5,197.2,193.0,171.0,115.7
5,Erzurum,Güney,84.2,139.5,130.0,128.4,108.0,106.1,124.2,149.3,182.5,188.0,165.9,57.4
5,Erzurum,Doğu,84.2,139.5,130.0,128.4,108.0,106.1,124.2,149.3,182.5,188.0,165.9,57.4
5,Erzurum,Batı,84.2,139.5,130.0,128.4,108.0,106.1,124.2,149.3,182.5,188.0,165.9,57.4
5,Erzurum,Kuzey,84.2,139.5,130.0,128.4,108.0,106.1,124.2,149.3,182.5,188.0,165.9,57.4
6,Erzurum,Güney,84.2,139.5,130.0,128.4,108.0,106.1,124.2,149.3,182.5,188.0,165.9,57.4
6,Erzurum,Doğu,84.2,139.5,130.0,128.4,108.0,106.1,124.2,149.3,182.5,188.0,165.9,57.4
6,Erzurum,Batı,84.2,139.5,130.0,128.4,108.0,106.1,124.2,149.3,182.5,188.0,165.9,57.4
6,Erzurum,Kuzey,84.2,139.5,130.0,128.4,108.0,106.1,124.2,149.3,182.5,188.0,165.9,57.4
