bolge,il,buyukluk,yon,Ocak,Şubat,Mart,Nisan,Mayıs,Haziran,Temmuz,Ağustos,Eylül,Ekim,Kasım,Aralık
1,Antalya,sicaklik_C,-,8.91,10.32,12.78,16.52,20.92,25.95,29.73,29.43,25.31,19.80,14.51,10.48
1,Antalya,isinim_Wm2,Güney,161.6,173.2,170.5,146.4,115.5,100.9,111.3,146.6,186.9,198.7,195.4,171.8
1,Antalya,isinim_Wm2,Doğu,161.6,173.2,170.5,146.4,115.5,100.9,111.3,146.6,186.9,198.7,195.4,171.8
1,Antalya,isinim_Wm2,Batı,161.6,173.2,170.5,146.4,115.5,100.9,111.3,146.6,186.9,198.7,195.4,171.8
1,Antalya,isinim_Wm2,Kuzey,161.6,173.2,170.5,146.4,115.5,100.9,111.3,146.6,186.9,198.7,195.4,171.8
3,İstanbul,sicaklik_C,-,6.35,6.82,8.53,12.06,17.18,21.87,24.39,24.86,21.22,16.37,12.49,8.51
3,İstanbul,isinim_Wm2,Güney,103.3,117.0,129.7,135.7,120.7,111.4,124.2,149.4,160.3,142.9,125.3,104.1
3,İstanbul,isinim_Wm2,Doğu,103.3,117.0,129.7,135.7,120.7,111.4,124.2,149.4,160.3,142.9,125.3,104.1
3,İstanbul,isinim_Wm2,Batı,103.3,117.0,129.7,135.7,120.7,111.4,124.2,149.4,160.3,142.9,125.3,104.1
3,İstanbul,isinim_Wm2,Kuzey,103.3,117.0,129.7,135.7,120.7,111.4,124.2,149.4,160.3,142.9,125.3,104.1
4,Ankara,sicaklik_C,-,-0.23,1.94,5.42,10.59,15.64,19.59,23.32,23.85,18.93,12.76,6.63,1.97
4,Ankara,isinim_Wm2,Güney,108.8,138.9,139.3,135.0,116.1,108.5,122.7,154.0,182.0,177.0,168.8,122.3
4,Ankara,isinim_Wm2,Doğu,108.8,138.9,139.3,135.0,116.1,108.5,122.7,154.0,182.0,177.0,168.8,122.3
4,Ankara,isinim_Wm2,Batı,108.8,138.9,139.3,135.0,116.1,108.5,122.7,154.0,182.0,177.0,168.8,122.3
4,Ankara,isinim_Wm2,Kuzey,108.8,138.9,139.3,135.0,116.1,108.5,122.7,154.0,182.0,177.0,168.8,122.3
6,Erzurum,sicaklik_C,-,-7.93,-5.70,-1.55,3.83,9.34,14.26,17.43,18.18,13.87,7.54,0.30,-5.22
6,Erzurum,isinim_Wm2,Güney,125.2,149.4,140.2,122.0,108.6,107.5,119.5,146.2,177.9,168.4,150.2,112.1
6,Erzurum,isinim_Wm2,Doğu,125.2,149.4,140.2,122.0,108.6,107.5,119.5,146.2,177.9,168.4,150.2,112.1
6,Erzurum,isinim_Wm2,Batı,125.2,149.4,140.2,122.0,108.6,107.5,119.5,146.2,177.9,168.4,150.2,112.1
6,Erzurum,isinim_Wm2,Kuzey,125.2,149.4,140.2,122.0,108.6,107.5,119.5,146.2,177.9,168.4,150.2,112.1
