kod,ad,grup,biyo_esasli,lambda,lambda_min,lambda_maks,kaynak_lambda,kalite_lambda,yogunluk,yogunluk_min,yogunluk_maks,kaynak_yogunluk,kalite_yogunluk,ozgul_isi,kaynak_ozgul_isi,kalite_ozgul_isi,mu,gomulu_karbon_kg,kaynak_gomulu,kalite_gomulu,biyojenik_karbon_kg,kaynak_biyojenik,kalite_biyojenik,yangin_puan,maliyet_min_TLm3,maliyet_max_TLm3,yasam_sonu_puan,nem_kuf_puan
M01,Ahşap lifi levha,Lifli levha,1,0.038,0.038,0.045,K05,4,50,50,250,K05,4,2100,K05,4,5,DOLDUR,DOLDUR,0,-1.50,hesap_C_icerigi,2,2,DOLDUR,DOLDUR,4,4
M02,Kenevir lifi levha,Lifli levha,1,0.040,0.031,0.046,K08,3,40,30,60,K08,3,1700,DOLDUR,1,2,DOLDUR,DOLDUR,0,-1.50,hesap_C_icerigi,2,2,DOLDUR,DOLDUR,4,4
M03,Keten lifi levha,Lifli levha,1,0.038,0.031,0.046,K08,3,35,30,60,K08,3,1600,DOLDUR,1,2,DOLDUR,DOLDUR,0,-1.50,hesap_C_icerigi,2,2,DOLDUR,DOLDUR,4,4
M04,Koyun yünü,Lifli levha,1,0.038,0.0324,0.0436,K04,4,60,30,138.7,K04,4,1720,DOLDUR,1,2,DOLDUR,DOLDUR,0,-1.20,hesap_C_icerigi,2,2,DOLDUR,DOLDUR,4,3
M05,Geri dönüşüm tekstil,Lifli levha,1,0.039,0.031,0.046,K08,3,35,30,60,K08,3,1600,DOLDUR,1,3,DOLDUR,DOLDUR,0,-0.90,hesap_C_icerigi,1,2,DOLDUR,DOLDUR,3,4
M06,Selüloz (püskürtme),Dökme/dolgu,1,0.040,0.038,0.045,DOLDUR,1,50,40,70,DOLDUR,1,1600,DOLDUR,1,2,DOLDUR,DOLDUR,0,-1.52,K14,2,5,DOLDUR,DOLDUR,4,4
M07,Kenevir-kireç (hempcrete),Dökme/dolgu,1,0.060,0.055,0.065,K09,3,330,250,450,DOLDUR,1,1500,DOLDUR,1,5,DOLDUR,DOLDUR,0,-0.60,hesap_C_icerigi,1,5,DOLDUR,DOLDUR,2,3
M08,Saman balya,Dökme/dolgu,1,0.060,0.050,0.070,DOLDUR,1,100,80,120,DOLDUR,1,1500,DOLDUR,1,2,DOLDUR,DOLDUR,0,-1.50,hesap_C_icerigi,2,2,DOLDUR,DOLDUR,4,5
M09,Genleştirilmiş mantar (ICB),Kabuk/atık esaslı,1,0.045,0.040,0.050,K10,3,110,100,120,K10,3,1800,DOLDUR,1,10,DOLDUR,DOLDUR,0,-1.50,hesap_C_icerigi,2,2,DOLDUR,DOLDUR,4,2
M10,Pirinç kavuzu paneli,Kabuk/atık esaslı,1,0.070,0.064,0.140,K07,3,400,300,520,K07,3,1700,DOLDUR,1,5,DOLDUR,DOLDUR,0,-1.50,hesap_C_icerigi,2,2,DOLDUR,DOLDUR,4,4
M11,Ayçiçeği sapı özü paneli,Kabuk/atık esaslı,1,0.040,0.038,0.042,K06,4,75,50,100,K06,4,1700,DOLDUR,1,3,DOLDUR,DOLDUR,0,-1.50,hesap_C_icerigi,2,2,DOLDUR,DOLDUR,4,4
M12,Şeker kamışı küspesi paneli,Kabuk/atık esaslı,1,0.055,0.048,0.080,DOLDUR,1,250,180,400,DOLDUR,1,1700,DOLDUR,1,4,DOLDUR,DOLDUR,0,-1.50,hesap_C_icerigi,2,2,DOLDUR,DOLDUR,4,4
M13,Fındık kabuğu esaslı panel,Kabuk/atık esaslı,1,0.060,0.050,0.090,DOLDUR,1,300,250,450,DOLDUR,1,1700,DOLDUR,1,5,DOLDUR,DOLDUR,0,-1.50,hesap_C_icerigi,2,2,DOLDUR,DOLDUR,4,4
M14,Miselyum esaslı kompozit,Büyütülmüş,1,0.047,0.026,0.180,K01;K03,3,120,80,200,DOLDUR,1,1714,K03,4,4,DOLDUR,DOLDUR,0,-1.50,hesap_C_icerigi,2,2,DOLDUR,DOLDUR,4,4
R01,EPS,Kıyas,0,0.035,0.032,0.040,DOLDUR,1,20,15,30,DOLDUR,1,1450,DOLDUR,1,50,DOLDUR,DOLDUR,0,0.00,tanim,5,2,DOLDUR,DOLDUR,2,2
R02,XPS,Kıyas,0,0.032,0.029,0.036,DOLDUR,1,32,28,40,DOLDUR,1,1450,DOLDUR,1,150,DOLDUR,DOLDUR,0,0.00,tanim,5,2,DOLDUR,DOLDUR,2,1
R03,Taşyünü,Kıyas,0,0.037,0.034,0.040,K05,4,29,29,140,K05,4,1030,K05,4,1,DOLDUR,DOLDUR,0,0.00,tanim,5,7,DOLDUR,DOLDUR,2,2
R04,Camyünü,Kıyas,0,0.035,0.032,0.040,DOLDUR,1,20,15,30,DOLDUR,1,1030,DOLDUR,1,1,1.533,K13,2,0.00,tanim,5,7,DOLDUR,DOLDUR,2,2
