kod,ad,uuid,refYear,geo,ref_birim,kg_carpani,GWP_fossil_A1A3_kg,GWP_biogenic_A1A3_kg,GWP_total_A1A3_kg,C3_kg,C4_kg,D_kg,durum
M01,Baufritz GaBi HOIZ wood chip insulation - reissue,bcf5c14e-f6c1-4a53-bfd0-32dd6b493028,2025,DE,Volumen,,,,,,,,"KULLANILAMAZ: şüpheli çevrim: kütle=1,0 ama referans birim Volumen"
M01,GUTEX Thermofibre - wood fiber insulation,ba97c206-2714-4bae-a449-abe5cdf5d975,2025,RER,Masse,1.0,0.526666609587129,-1.6081907277333765,-1.0815241181462487,1.61183638314677,0.0,-0.683280333506524,kg başına normalize
M01,Wood fibre board (wet process); wood fibre,c91aa879-2826-4078-8bfa-baae349549cb,2023,DE,Volume,0.00625,0.7210771012003188,-1.73855118922055,-1.0167827735311188,1.7764942667056876,,-0.5203960973673943,kg başına normalize
M01,best wood wood fibre insulation boards,1c22a17e-aca4-4126-9fde-f02c33aa741e,2023,DE,Volumen,,,,,,,,KULLANILAMAZ: kütleye çevrim yok (referans birim: Volumen)
M02,HemKor Jute Blend - Hemp and jute insulation,4089074f-a1b7-411b-a888-5839b1b053e6,2025,DE,Area,0.5813953488372093,1.133742716031913,-1.4945839529375,-0.35830819183587614,1.6004954388539014,0.0,-0.3779096961341867,kg başına normalize
M02,Hemp fibre fleece; density 38 kg/m3,9a9f76b6-54f0-421e-9f8a-6a5db3a22e1d,2023,DE,Volume,0.02631578947368421,1.6767867550724027,-0.1446875979838371,1.5331065899418053,1.986267407335363,,-0.5025172665524262,kg başına normalize
M02,Hempflax Thermo Hemp Combi Jute,1018517a-1fb0-40c9-aa82-d7d3c2687b49,2022,RER,Masse,1.0,32.05543285966216,-53.45605842744445,-20.25563848278819,55.80024893525917,0.0,-24.427986545447105,ŞÜPHELİ: fosil 32.06 bandın dışında; biyojenik -53.46 bandın dışında
M02,Hemp fibre fleece; density 38 kg/m3,6505a4d0-df9a-4f7f-8a10-fa4ef36629ad,2022,DE,Volume,0.02631578947368421,1.8813435183758656,-1.509283204195505,0.37289410780707105,2.1629761708576605,,-0.4704353575068868,kg başına normalize
M03,Flax fibre fleece; 38 kg/m3,b7b7c6be-122f-48d9-b1c2-9b81a6b7e95c,2023,DE,Volume,0.02631578947368421,1.6771140902809551,0.008689287209538472,1.6859412732389263,2.001856702335363,,-0.5025172665524262,kg başına normalize
M03,Flax fibre fleece; 38 kg/m3,1edb805d-08dc-461e-8195-05a9865470d0,2022,DE,Volume,0.02631578947368421,1.8708944830213525,-1.5189651310135104,0.8900490359673843,2.1629761708576605,,-0.4704353575068868,kg başına normalize
